Name,SMILES,NPR1,NPR2
2a,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@]3(C)C1=C2OC3)=O,0.526987,0.684033
2b,O=C(N(C)CCCCCCCC(NC1)=O)C2=C3C(OC[C@@]31C)=CC=C2,0.48167,0.75327
2c,C[C@]12C3=C(C=CC=C3OC2)C(N(C)CCCCCCCCC(NC1)=O)=O,0.509044,0.668103
2d,CN(C1=O)CCCCCCCCCC(NC[C@]2(COC3=CC=CC1=C23)C)=O,0.47961,0.753851
2e,C[C@@]12CNC(CCCCCCCCCCN(C)C(C3=C1C(OC2)=CC=C3)=O)=O,0.412366,0.804981
2f,CN(C1=O)CCCCCCCCCCCC(NC[C@]2(COC3=CC=CC1=C23)C)=O,0.495357,0.835151
2g,O=C(NC[C@]1(C)C2=C3C=CC=C2OC1)CCCCCN(C)C(CCCCCN(C)C3=O)=O,0.394979,0.855384
2h,CN(C(C1=CC=C2OC)=O)CCCCCC(NC[C@]3(C)C1=C2OC3)=O,0.362592,0.762904
2i,CN(C(C1=CC=C2F)=O)CCCCCC(NC[C@]3(C)C1=C2OC3)=O,0.546494,0.738186
2j,CN(C(C1=CC=C2Br)=O)CCCCCC(NC[C@]3(C)C1=C2OC3)=O,0.447658,0.878223
2k,CN(C(C1=CC=C2C3=CC=CC=C3)=O)CCCCCC(NC[C@]4(C)C1=C2OC4)=O,0.3188,0.887759
2l,CN(C(C1=CC(C)=C2)=O)CCCCCC(NC[C@]3(C)C1=C2OC3)=O,0.383346,0.714728
2m,CN(C(C1=CC(F)=C2)=O)CCCCCC(NC[C@]3(C)C1=C2OC3)=O,0.428977,0.678283
2n,CN(C(C1=CC(Br)=C2)=O)CCCCCC(NC[C@]3(C)C1=C2OC3)=O,0.275248,0.795354
2o,CN(C(C1=CC2=C3OCO2)=O)CCCCCC(NC[C@]4(C)C1=C3OC4)=O,0.312254,0.784709
2p,CN(C(C1=CC2=C3OCCO2)=O)CCCCCC(NC[C@]4(C)C1=C3OC4)=O,0.348028,0.789105
2q,CN(C(C1=CC2=C3C=CC=C2)=O)CCCCCC(NC[C@]4(C)C1=C3OC4)=O,0.410164,0.847815
2r,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@]3(CC)C1=C2OC3)=O,0.478935,0.742153
2s,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@]3(C4CCCC4)C1=C2OC3)=O,0.60334,0.8053
2t,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@]3(C4=CC=CC=C4)C1=C2OC3)=O,0.654431,0.845337
2u,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@]3(COCC4=CC=CC=C4)C1=C2OC3)=O,0.333836,0.958736
