Name,SMILES,NPR1,NPR2
2a-R,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@@]3(C)C1=C2OC3)=O,0.604232,0.746801
2b-R,O=C(N(C)CCCCCCCC(NC1)=O)C2=C3C(OC[C@]31C)=CC=C2,0.602924,0.764343
2c-R,C[C@@]12C3=C(C=CC=C3OC2)C(N(C)CCCCCCCCC(NC1)=O)=O,0.495613,0.711524
2d-R,CN(C1=O)CCCCCCCCCC(NC[C@@]2(COC3=CC=CC1=C23)C)=O,0.555185,0.780339
2e-R,C[C@]12CNC(CCCCCCCCCCN(C)C(C3=C1C(OC2)=CC=C3)=O)=O,0.431998,0.762065
2f-R,CN(C1=O)CCCCCCCCCCCC(NC[C@@]2(COC3=CC=CC1=C23)C)=O,0.494252,0.796851
2g-R,O=C(NC[C@@]1(C)C2=C3C=CC=C2OC1)CCCCCN(C)C(CCCCCN(C)C3=O)=O,0.460959,0.804248
2h-R,CN(C(C1=CC=C2OC)=O)CCCCCC(NC[C@@]3(C)C1=C2OC3)=O,0.420411,0.75195
2i-R,CN(C(C1=CC=C2F)=O)CCCCCC(NC[C@@]3(C)C1=C2OC3)=O,0.415834,0.726807
2j-R,CN(C(C1=CC=C2Br)=O)CCCCCC(NC[C@@]3(C)C1=C2OC3)=O,0.271335,0.799161
2k-R,CN(C(C1=CC=C2C3=CC=CC=C3)=O)CCCCCC(NC[C@@]4(C)C1=C2OC4)=O,0.302235,0.835226
2l-R,CN(C(C1=CC(C)=C2)=O)CCCCCC(NC[C@@]3(C)C1=C2OC3)=O,0.507531,0.758874
2m-R,CN(C(C1=CC(F)=C2)=O)CCCCCC(NC[C@@]3(C)C1=C2OC3)=O,0.49351,0.803449
2n-R,CN(C(C1=CC(Br)=C2)=O)CCCCCC(NC[C@@]3(C)C1=C2OC3)=O,0.350919,0.843045
2o-R,CN(C(C1=CC2=C3OCO2)=O)CCCCCC(NC[C@@]4(C)C1=C3OC4)=O,0.436299,0.884669
2p-R,CN(C(C1=CC2=C3OCCO2)=O)CCCCCC(NC[C@@]4(C)C1=C3OC4)=O,0.399582,0.812538
2q-R,CN(C(C1=CC2=C3C=CC=C2)=O)CCCCCC(NC[C@@]4(C)C1=C3OC4)=O,0.30122,0.772116
2r-R,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@@]3(CC)C1=C2OC3)=O,0.609358,0.802371
2s-R,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@@]3(C4CCCC4)C1=C2OC3)=O,0.707618,0.859305
2t-R,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@@]3(C4=CC=CC=C4)C1=C2OC3)=O,0.567395,0.9676
2u-R,CN(C(C1=CC=C2)=O)CCCCCC(NC[C@@]3(COCC4=CC=CC=C4)C1=C2OC3)=O,0.293155,0.949354
